Epoch,Barlow Twins,Autoencoder
0,0.526,0.4258
1,0.586,0.4734
2,0.6122,0.4944
3,0.6322,0.5154
4,0.6442,0.5334
5,0.6548,0.5488
6,0.6642,0.5582
7,0.6724,0.5658
8,0.6764,0.572
9,0.6796,0.5798
10,0.6828,0.587
11,0.6858,0.5916
12,0.6888,0.5958
13,0.6918,0.5994
14,0.6932,0.602
15,0.696,0.6052
16,0.6978,0.6082
17,0.7006,0.6102
18,0.7022,0.6108
19,0.7052,0.6132
20,0.7054,0.615
21,0.7056,0.6188
22,0.7072,0.6204
23,0.7088,0.6236
24,0.7102,0.6236
25,0.7112,0.6264
26,0.7114,0.6292
27,0.7116,0.6306
28,0.7122,0.6316
29,0.7136,0.6326
30,0.714,0.6336
31,0.7148,0.6356
32,0.7148,0.636
33,0.715,0.6366
34,0.7164,0.6382
35,0.7174,0.639
36,0.7184,0.6402
37,0.7186,0.6414
38,0.7198,0.6432
39,0.7202,0.6444
40,0.7214,0.6452
41,0.722,0.6462
42,0.7232,0.6462
43,0.724,0.6458
44,0.7234,0.6468
45,0.7234,0.6474
46,0.7238,0.649
47,0.7242,0.6494
48,0.724,0.65
49,0.724,0.6502
50,0.7238,0.65
51,0.723,0.6504
52,0.7232,0.6512
53,0.7234,0.6518
54,0.7236,0.653
55,0.7232,0.6534
56,0.7238,0.6538
57,0.7232,0.654
58,0.723,0.6538
59,0.7234,0.6546
60,0.724,0.6546
61,0.7238,0.6554
62,0.7234,0.656
63,0.7232,0.657
64,0.7236,0.6582
65,0.7232,0.6588
66,0.7234,0.659
67,0.7234,0.659
68,0.7232,0.6596
69,0.7228,0.6598
70,0.7232,0.6598
71,0.724,0.6604
72,0.724,0.6612
73,0.724,0.6622
74,0.7238,0.6636
75,0.7236,0.664
76,0.7246,0.6638
77,0.7246,0.664
78,0.7238,0.6646
79,0.724,0.6648
80,0.724,0.666
81,0.7238,0.667
82,0.724,0.6672
83,0.7242,0.6674
84,0.7238,0.668
85,0.723,0.6686
86,0.7232,0.6684
87,0.7232,0.6686
88,0.723,0.6684
89,0.723,0.669
90,0.7236,0.6694
91,0.7242,0.6694
92,0.7236,0.6696
93,0.7232,0.6702
94,0.7238,0.6708
95,0.7242,0.6712
96,0.7236,0.6718
97,0.7234,0.6718
98,0.7228,0.6724
99,0.7232,0.6726
100,0.7234,0.6736
101,0.7234,0.6738
102,0.7236,0.6736
103,0.7234,0.6738
104,0.7236,0.674
105,0.724,0.6744
106,0.7238,0.6748
107,0.7236,0.6746
108,0.7238,0.6748
109,0.7234,0.675
110,0.7232,0.6742
111,0.7238,0.674
112,0.7236,0.6738
113,0.7236,0.6742
114,0.7232,0.6746
115,0.7234,0.675
116,0.7234,0.6756
117,0.7232,0.6752
118,0.7232,0.6758
119,0.723,0.6752
120,0.7228,0.6752
121,0.7228,0.675
122,0.7234,0.6752
123,0.7236,0.675
124,0.7234,0.6744
125,0.7228,0.6748
126,0.7224,0.6752
127,0.7224,0.6758
128,0.7224,0.6758
129,0.7218,0.6762
130,0.7216,0.6766
131,0.7214,0.6766
132,0.7216,0.677
133,0.7216,0.6776
134,0.722,0.6776
135,0.7212,0.6776
136,0.7208,0.6776
137,0.7208,0.6772
138,0.7208,0.6776
139,0.7218,0.6778
140,0.7218,0.6782
141,0.7222,0.6782
142,0.722,0.6784
143,0.7218,0.6782
144,0.7218,0.6778
145,0.7218,0.6778
146,0.7216,0.678
147,0.7218,0.678
148,0.7218,0.6782
149,0.7222,0.6782
