epoch,lr,loss
0,1.09547E-06,2.527013568
1,1.20116E-06,2.226297089
2,1.31704E-06,2.106522634
3,1.44411E-06,1.960253451
4,1.58343E-06,1.99800487
5,1.7362E-06,2.009472635
6,1.90371E-06,1.972404243
7,2.08737E-06,2.058299336
8,2.28876E-06,1.981308352
9,2.50957E-06,2.003461313
10,2.75169E-06,2.003531717
11,3.01717E-06,2.052235519
12,3.30826E-06,2.031057829
13,3.62744E-06,1.893694773
14,3.97741E-06,1.970002542
15,4.36114E-06,1.827515351
16,4.78189E-06,2.009536209
17,5.24324E-06,2.034988225
18,5.7491E-06,1.821561503
19,6.30376E-06,1.866766651
20,6.91194E-06,1.910487928
21,7.57879E-06,1.846503459
22,8.30998E-06,1.776135699
23,9.11171E-06,1.711294557
24,9.99079E-06,1.700941699
25,1.09547E-05,1.700326909
26,1.20116E-05,1.722310001
27,1.31704E-05,1.674949257
28,1.44411E-05,1.675197453
29,1.58343E-05,1.687284732
30,1.7362E-05,1.667224134
31,1.90371E-05,1.775198287
32,2.08737E-05,1.711697499
33,2.28876E-05,1.673315404
34,2.50957E-05,1.596942131
35,2.75169E-05,1.659875869
36,3.01717E-05,1.642932031
37,3.30826E-05,1.686470171
38,3.62744E-05,1.587213365
39,3.97741E-05,1.608119923
40,4.36114E-05,1.632925124
41,4.78189E-05,1.642155437
42,5.24324E-05,1.578062913
43,5.7491E-05,1.658737311
44,6.30376E-05,1.628963183
45,6.91194E-05,1.588472388
46,7.57879E-05,1.631210238
47,8.30998E-05,1.547119059
48,9.11171E-05,1.637810726
49,9.99079E-05,1.638107466
50,0.000109547,1.584297774
51,0.000120116,1.604680378
52,0.000131704,1.565325265
53,0.000144411,1.621735396
54,0.000158343,1.505952753
55,0.00017362,1.589811518
56,0.000190371,1.601149886
57,0.000208737,1.583430413
58,0.000228876,1.57364416
59,0.000250957,1.679296411
60,0.000275169,1.648957913
61,0.000301717,1.609557034
62,0.000330826,1.624442188
63,0.000362744,1.522014756
64,0.000397741,1.235089905
65,0.000436114,1.089428329
66,0.000478189,0.99862375
67,0.000524324,1.019233899
68,0.00057491,0.994150209
69,0.000630376,0.834578838
70,0.000691194,0.825583804
71,0.000757879,0.762745448
72,0.000830998,0.817577502
73,0.000911171,0.753730064
74,0.000999079,0.80125064
75,0.001095469,0.723607394
76,0.001201158,0.849274212
77,0.001317043,0.766558458
78,0.001444109,0.777372555
79,0.001583434,0.760834383
80,0.001736201,0.736939723
81,0.001903707,0.692441216
82,0.002087373,0.715705512
83,0.002288759,0.84869855
84,0.002509574,1.531245834
85,0.002751693,1.006954991
86,0.003017172,0.842955247
87,0.003308263,0.803299022
88,0.003627438,0.944122717
89,0.003977407,0.849851669
90,0.00436114,0.844837511
91,0.004781895,0.772316391
92,0.005243243,0.724784147
93,0.005749102,0.841470245
94,0.006303765,0.824883254
95,0.006911941,1.490183856
96,0.007578792,3.369074314
97,0.00830998,3.370988338
98,0.009111712,3.366190782
99,0.009990794,3.397931502
,,
,,
